order_id,customer_id,product_name,category,quantity,unit_price,total_price,order_date,city,country
ORD_00001,CUST_0130,Phone Case,Electronics,4,19.99,79.96,2024-11-03,Berlin,Germany
ORD_00002,CUST_0293,Data Science Handbook,Books,1,39.99,39.99,2024-09-22,Paris,France
ORD_00003,CUST_0252,History Book,Books,3,24.99,74.97,2024-06-15,Los Angeles,USA
ORD_00004,CUST_0194,T-Shirt,Clothing,5,24.99,124.95,2024-05-24,Sydney,Australia
ORD_00005,CUST_0028,Throw Pillow,Home & Garden,3,29.99,89.97,2024-07-25,Chicago,USA
ORD_00006,CUST_0190,Power Bank,Electronics,5,34.99,174.95,2024-02-22,Chicago,USA
ORD_00007,CUST_0134,Data Science Handbook,Books,1,39.99,39.99,2024-11-19,Mumbai,India
ORD_00008,CUST_0141,History Book,Books,1,24.99,24.99,2024-06-02,London,UK
ORD_00009,CUST_0277,Plant Pot,Home & Garden,4,18.99,75.96,2024-09-11,Tokyo,Japan
ORD_00010,CUST_0112,Water Bottle,Sports,2,14.99,29.98,2024-01-14,Mumbai,India
ORD_00011,CUST_0206,Python Cookbook,Books,3,44.99,134.97,2024-06-10,Los Angeles,USA
ORD_00012,CUST_0132,Sneakers,Clothing,4,89.99,359.96,2024-02-24,Mumbai,India
ORD_00013,CUST_0231,History Book,Books,1,24.99,24.99,2024-10-13,London,UK
ORD_00014,CUST_0087,Dumbbell Set,Sports,2,59.99,119.98,2024-03-20,Toronto,Canada
ORD_00015,CUST_0242,Python Cookbook,Books,5,44.99,224.95,2024-01-23,Los Angeles,USA
ORD_00016,CUST_0212,History Book,Books,4,24.99,99.96,2024-04-22,Berlin,Germany
ORD_00017,CUST_0012,Throw Pillow,Home & Garden,3,29.99,89.97,2024-02-07,Paris,France
ORD_00018,CUST_0142,Bluetooth Speaker,Electronics,4,79.99,319.96,2024-11-16,Tokyo,Japan
ORD_00019,CUST_0170,Phone Case,Electronics,3,19.99,59.97,2024-07-03,Tokyo,Japan
ORD_00020,CUST_0010,Garden Hose,Home & Garden,2,39.99,79.98,2024-05-13,Tokyo,Japan
ORD_00021,CUST_0298,Resistance Bands,Sports,2,19.99,39.98,2024-11-01,Berlin,Germany
ORD_00022,CUST_0085,Socks Pack,Clothing,1,14.99,14.99,2024-12-09,Toronto,Canada
ORD_00023,CUST_0152,Garden Hose,Home & Garden,1,39.99,39.99,2024-10-28,Paris,France
ORD_00024,CUST_0245,Fiction Novel,Books,3,14.99,44.97,2024-04-05,Berlin,Germany
ORD_00025,CUST_0232,T-Shirt,Clothing,1,24.99,24.99,2024-09-20,New York,USA
ORD_00026,CUST_0151,Garden Hose,Home & Garden,1,39.99,39.99,2024-12-05,Mumbai,India
ORD_00027,CUST_0050,Garden Hose,Home & Garden,3,39.99,119.97,2024-05-07,Berlin,Germany
ORD_00028,CUST_0109,Jacket,Clothing,4,119.99,479.96,2024-12-03,Tokyo,Japan
ORD_00029,CUST_0110,T-Shirt,Clothing,2,24.99,49.98,2024-11-14,Mumbai,India
ORD_00030,CUST_0291,Fiction Novel,Books,2,14.99,29.98,2024-04-22,Sydney,Australia
ORD_00031,CUST_0222,Jacket,Clothing,4,119.99,479.96,2024-04-03,Berlin,Germany
ORD_00032,CUST_0137,Bluetooth Speaker,Electronics,5,79.99,399.95,2024-09-06,Los Angeles,USA
ORD_00033,CUST_0165,Data Science Handbook,Books,5,39.99,199.95,2024-03-13,Paris,France
ORD_00034,CUST_0216,Yoga Mat,Sports,4,29.99,119.96,2024-08-13,Berlin,Germany
ORD_00035,CUST_0029,Jacket,Clothing,1,119.99,119.99,2024-08-18,Paris,France
ORD_00036,CUST_0013,Phone Case,Electronics,3,19.99,59.97,2024-03-14,Sydney,Australia
ORD_00037,CUST_0204,USB-C Cable,Electronics,4,12.99,51.96,2024-02-05,Los Angeles,USA
ORD_00038,CUST_0278,Garden Hose,Home & Garden,1,39.99,39.99,2024-12-17,Chicago,USA
ORD_00039,CUST_0089,LED Bulb Pack,Home & Garden,4,22.99,91.96,2024-01-05,Paris,France
ORD_00040,CUST_0235,Water Bottle,Sports,3,14.99,44.97,2024-01-03,Berlin,Germany
ORD_00041,CUST_0133,Sneakers,Clothing,4,89.99,359.96,2024-12-05,Berlin,Germany
ORD_00042,CUST_0081,Throw Pillow,Home & Garden,3,29.99,89.97,2024-12-10,Toronto,Canada
ORD_00043,CUST_0086,Throw Pillow,Home & Garden,5,29.99,149.95,2024-01-11,Berlin,Germany
ORD_00044,CUST_0043,Yoga Mat,Sports,5,29.99,149.95,2024-04-16,Paris,France
ORD_00045,CUST_0036,T-Shirt,Clothing,4,24.99,99.96,2024-04-07,Tokyo,Japan
ORD_00046,CUST_0231,History Book,Books,4,24.99,99.96,2024-04-04,Mumbai,India
ORD_00047,CUST_0071,Self-Help Guide,Books,5,19.99,99.95,2024-01-04,Chicago,USA
ORD_00048,CUST_0249,Throw Pillow,Home & Garden,2,29.99,59.98,2024-06-23,London,UK
ORD_00049,CUST_0191,Resistance Bands,Sports,2,19.99,39.98,2024-04-18,Mumbai,India
ORD_00050,CUST_0281,Wall Clock,Home & Garden,2,34.99,69.98,2024-03-05,Mumbai,India
ORD_00051,CUST_0291,Plant Pot,Home & Garden,2,18.99,37.98,2024-12-05,Berlin,Germany
ORD_00052,CUST_0268,Yoga Mat,Sports,4,29.99,119.96,2024-03-26,Toronto,Canada
ORD_00053,CUST_0007,Bluetooth Speaker,Electronics,3,79.99,239.97,2024-10-10,London,UK
ORD_00054,CUST_0029,Fiction Novel,Books,2,14.99,29.98,2024-09-21,Toronto,Canada
ORD_00055,CUST_0285,Jeans,Clothing,1,49.99,49.99,2024-03-01,Mumbai,India
ORD_00056,CUST_0046,Wireless Headphones,Electronics,5,59.99,299.95,2024-09-06,Toronto,Canada
ORD_00057,CUST_0014,Sneakers,Clothing,4,89.99,359.96,2024-03-08,Toronto,Canada
